generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1270000,2,0.984363,-766.489,0.639912,0.414
1280000,2,1.83301,-774.523,0.639439,0.438
1290000,2,3.7314,-773.549,1.22212,0.415
1300000,2,1.98046,-774.159,1.84881,0.461
1310000,2,2.3591,-773.91,0.344258,0.457833
1320000,2,-1.96364,-772.859,1.25255,0.448
1330000,2,1.67061,-766.906,0.783425,0.473882
1340000,3,2.55255,-774.077,0.841919,0.457
1350000,2,-2.69609,-769.674,1.24308,0.447
1360000,3,-1.04357,-774.23,3.38717,0.461667
1370000,3,2.26371,-779.094,1.50704,0.446
1380000,1,0.780225,-783.622,0.39525,0.441636
1390000,3,3.51058,-771.851,2.76908,0.48
1400000,2,1.54856,-775.472,1.20241,0.432
1410000,3,-2.09836,-776.349,3.19125,0.463
1420000,2,0.629098,-768.411,1.23433,0.426
1430000,2,-0.152205,-770.893,0.283494,0.485
1440000,3,0.51686,-770.055,3.69552,0.443
1450000,3,-3.2359,-769.31,3.00129,0.454167
1460000,2,0.241373,-769.824,2.8196,0.452444
1470000,2,2.03561,-775.116,2.04507,0.45
1480000,3,-0.751877,-768.646,1.85263,0.435
1490000,2,3.83225,-779.633,0.376684,0.499
1500000,2,1.03427,-775.236,1.06858,0.42525
1510000,2,3.87142,-769.718,0.183608,0.387
1520000,2,1.72308,-772.312,0.65438,0.454
1530000,3,3.15632,-776.503,1.93374,0.4492
1540000,4,3.04036,-770.104,2.54362,0.466
1550000,4,2.63171,-770.148,1.71438,0.45
1560000,3,2.62174,-764.901,1.38217,0.47425
1570000,2,-2.79942,-769.403,2.45334,0.505
1580000,2,-1.07162,-773.221,1.01802,0.47
1590000,4,3.24514,-764.155,2.38149,0.463
1600000,3,2.68557,-771.055,0.908696,0.445
1610000,5,5.47509,-765.171,2.79816,0.501
1620000,2,5.0422,-779.133,1.22497,0.48075
1630000,2,-2.80324,-773.988,1.91618,0.458
1640000,2,3.67866,-774.589,1.16536,0.45
1650000,4,0.741327,-763.937,2.59587,0.4505
1660000,3,-0.963227,-770.754,1.98805,0.436
1670000,2,2.96013,-774.779,0.893831,0.45
1680000,2,-0.0516322,-766.87,1.25273,0.436
1690000,2,1.0364,-769.033,1.61675,0.481
1700000,2,1.67999,-769.261,0.856191,0.446
1710000,2,0.0498341,-777.804,4.0852,0.457333
1720000,3,-6.53565,-763.72,3.6625,0.426
1730000,3,-1.06236,-766.844,2.36648,0.4675
1740000,3,-1.91694,-762.389,0.671742,0.4775
1750000,2,-2.1887,-772.178,3.78233,0.4612
1760000,4,1.09241,-769.621,2.76627,0.468
1770000,2,-2.96513,-769.453,0.330533,0.4415
1780000,2,0.41421,-772.962,1.87328,0.462038
1790000,2,2.66238,-773.336,0.841962,0.436
1800000,2,5.0225,-776.531,1.17741,0.454
1810000,4,1.27508,-769.061,3.25986,0.47425
1820000,2,1.75846,-774.922,1.1452,0.4705
1830000,3,3.01848,-763.828,2.29396,0.446
1840000,3,3.98008,-778.75,1.63292,0.47
1850000,3,1.63653,-764.323,3.0414,0.476
1860000,4,0.230803,-766.521,1.78384,0.464
1870000,4,-0.749031,-765.524,1.91843,0.435
1880000,4,-3.36762,-763.789,2.64392,0.419
1890000,3,2.59757,-775.678,0.738738,0.44
1900000,3,4.05554,-762.87,0.926078,0.468
1910000,4,-2.24643,-764.692,1.51374,0.419
1920000,5,-5.44173,-775.263,2.89547,0.466
1930000,2,1.11603,-774.977,1.20238,0.4665
1940000,2,0.683194,-778.129,1.98245,0.437
1950000,2,-1.34861,-776.179,1.95157,0.424333
1960000,2,1.71084,-769.684,0.547227,0.427
1970000,2,4.09029,-769.83,0.747978,0.453313
1980000,4,3.96531,-774.811,3.51674,0.454875
1990000,2,-0.798322,-774.548,1.62289,0.463273
2000000,2,1.49567,-775.036,2.2805,0.404
2010000,5,4.25655,-768.728,2.97555,0.462333
2020000,5,-6.05345,-766.819,1.73343,0.479
2030000,2,0.917721,-775.199,0.855512,0.437
2040000,2,-1.13723,-772.536,1.06631,0.394
2050000,5,-0.593244,-761.634,2.94985,0.474
2060000,2,3.10528,-773.233,0.629932,0.465
2070000,3,3.38009,-768.305,0.80246,0.429
2080000,4,2.74266,-767.034,1.98656,0.439
2090000,2,1.25234,-768.66,2.24341,0.44
2100000,2,2.88909,-771.788,2.36993,0.449667
2110000,3,2.18407,-771.638,2.4487,0.445667
2120000,2,-2.40466,-767.867,1.09093,0.450769
2130000,2,3.35133,-776.453,0.529518,0.436
2140000,3,2.04824,-766.961,0.432487,0.434
2150000,6,8.85316,-777.728,1.50474,0.494
2160000,3,0.0945901,-767.093,1.53565,0.4375
2170000,2,-0.990826,-772.543,0.49465,0.454
2180000,2,0.397878,-771.828,0.759004,0.437714
2190000,2,0.214161,-773.447,1.20097,0.432
2200000,2,1.33355,-772.486,2.11064,0.487
2210000,2,3.07077,-786.256,2.02458,0.47
2220000,3,2.79693,-768.713,0.932432,0.4655
2230000,2,1.46109,-771.566,1.35378,0.459062
2240000,2,4.36309,-769.204,0.324874,0.457091
2250000,2,2.3546,-773.822,0.773423,0.483
2260000,3,-4.0701,-773.34,2.4936,0.468
2270000,2,0.0450907,-771.014,2.52587,0.434
2280000,3,-5.17579,-764.266,2.77373,0.464
2290000,4,-3.51658,-762.487,2.40711,0.399
2300000,2,2.19726,-781.872,2.54741,0.4295
2310000,1,3.04784,-786.13,0.321918,0.465
2320000,2,-1.21788,-772.224,0.503329,0.427
2330000,2,-1.4662,-775.761,1.63323,0.436667
2340000,2,-0.714731,-774.561,1.79469,0.4298
2350000,4,4.02369,-786.292,4.00829,0.457714
2360000,3,2.6776,-775.735,1.13279,0.497
2370000,3,-1.73617,-765.527,1.12436,0.462
2380000,3,2.11762,-764.35,3.92187,0.464
2390000,4,-0.653545,-772.494,2.01626,0.462
2400000,2,-0.892281,-773.64,1.28755,0.4402
2410000,2,4.62002,-773.017,1.06664,0.474
2420000,3,2.41609,-774.536,1.23324,0.4688
2430000,1,3.32403,-786.641,0.806637,0.454545
2440000,2,2.53834,-780.841,2.29527,0.459
2450000,2,-1.89224,-771.77,1.07254,0.427
2460000,4,0.255882,-768.627,1.2048,0.456053
2470000,3,4.15279,-769.364,2.26017,0.457
2480000,2,0.473235,-769.189,3.40595,0.427
2490000,3,4.57799,-772.178,1.69813,0.49575
2500000,2,-0.463555,-779.574,1.09643,0.464
2510000,3,0.65864,-772.419,3.27613,0.462692
2520000,4,2.76354,-770.658,2.76244,0.49
2530000,2,0.134157,-770.622,1.23718,0.395
2540000,2,-0.172443,-769.232,2.08919,0.432
2550000,2,2.85132,-771.552,0.975751,0.448
2560000,4,3.43325,-763.255,4.1036,0.494
2570000,3,-0.0110297,-774.345,4.26436,0.458143
2580000,3,2.54189,-772.172,1.844,0.437
2590000,2,2.85819,-773.302,1.20394,0.434667
2600000,2,-3.38646,-773.054,1.15376,0.443
2610000,2,1.54926,-774.991,2.33617,0.459667
2620000,3,1.66106,-779.316,3.42866,0.416
2630000,2,-0.983555,-771.569,0.813545,0.423667
2640000,2,3.87508,-776.035,1.68329,0.476
2650000,2,2.99825,-776.18,0.755905,0.4635
2660000,2,-0.994591,-772.58,1.83612,0.446727
2670000,3,0.302086,-764.133,1.42962,0.467
2680000,4,-4.61953,-766.603,1.97173,0.508
2690000,2,-0.8682,-768.426,1.80559,0.46
2700000,3,-1.76328,-774.518,0.795782,0.450583
2710000,2,4.17769,-772.447,1.08428,0.4342
2720000,3,2.25727,-772.597,0.710376,0.435
2730000,3,-1.50426,-763.7,0.974511,0.4175
2740000,3,-2.20175,-767.55,2.37049,0.435
2750000,2,-0.0683956,-770.572,0.486931,0.458667
2760000,2,-3.99757,-770.469,1.42432,0.416
2770000,4,-1.03765,-770.257,3.56952,0.474
2780000,2,1.54683,-772.828,0.578874,0.456
2790000,3,-7.06324,-768.764,3.72477,0.450333
2800000,3,0.913588,-770.799,2.49724,0.473
2810000,2,3.79389,-774.32,0.745058,0.4744
2820000,3,-1.21981,-763.999,2.92923,0.502
2830000,2,-2.81007,-770.558,2.25101,0.456071
2840000,2,2.93066,-774.152,0.418823,0.445
2850000,1,3.03461,-786.486,0.480049,0.469636
2860000,2,2.49559,-778.986,2.32128,0.461714
2870000,2,4.55327,-771.546,1.14543,0.42
2880000,4,0.11125,-768.196,1.53964,0.48
2890000,5,2.10833,-770.687,4.72927,0.476211
2900000,2,1.10185,-780.193,0.546486,0.475636
2910000,2,2.8803,-772.257,1.59993,0.449
2920000,4,4.10752,-769.119,1.86152,0.481
2930000,2,2.90752,-772.706,1.71984,0.45025
2940000,2,2.78606,-773.574,1.68272,0.454778
2950000,3,2.67496,-776.548,1.86957,0.498
2960000,2,3.10508,-773.736,0.816836,0.428
2970000,3,1.6242,-767.937,1.37336,0.448
2980000,3,2.95454,-771.702,0.946641,0.452875
2990000,5,3.60548,-765.782,2.267,0.4595
3000000,1,-3.78535,-785.336,0.87663,0.453167
3010000,2,-1.33228,-769.988,1.23457,0.477
3020000,3,6.26155,-769.817,0.99763,0.477667
3030000,3,-3.47873,-771.928,1.18479,0.409
3040000,3,1.04643,-766.291,3.34148,0.464667
3050000,3,2.61559,-766.592,1.32769,0.474
3060000,3,-0.634016,-764.046,3.15913,0.4525
3070000,3,-1.30117,-771.63,1.21556,0.468
3080000,5,-2.66857,-768.793,2.5301,0.4604
3090000,2,-0.0980072,-771.821,2.10531,0.441
3100000,3,4.19765,-772.003,0.935259,0.458167
3110000,2,2.93485,-773.817,0.11649,0.463429
3120000,2,0.573505,-770.958,0.841948,0.4314
3130000,2,4.59736,-770.903,0.613618,0.4455
3140000,4,1.96802,-770.651,3.28725,0.455
3150000,2,0.504776,-769.968,1.59859,0.432
3160000,2,2.13858,-775.301,1.64096,0.486
3170000,2,3.96952,-771.35,0.820411,0.496
3180000,2,-0.274415,-770.293,2.31873,0.454
3190000,2,2.35928,-771.932,1.60703,0.422
3200000,3,3.01375,-766.151,1.04549,0.487
3210000,2,3.66457,-780.504,1.07693,0.459
3220000,4,4.83732,-767.403,1.26047,0.4945
3230000,2,-5.03651,-766.92,1.01301,0.464
3240000,4,-0.40599,-769.734,5.22914,0.464
3250000,3,5.7245,-771.169,0.651728,0.435
3260000,2,1.26236,-768.365,1.49627,0.475333
3270000,4,4.40533,-780.005,1.89904,0.486
3280000,2,0.805157,-781.066,1.02134,0.487
3290000,4,-0.0027023,-770.029,3.83688,0.444
3300000,2,-3.8813,-766.952,2.33096,0.432333
3310000,3,2.02957,-766.725,1.04221,0.476
3320000,4,5.20677,-766.734,1.8128,0.481
3330000,2,2.90854,-776.315,0.447199,0.4545
3340000,5,-3.07237,-774.959,3.52644,0.438
3350000,1,1.99989,-784.407,0.405189,0.465
3360000,2,-4.37341,-769.291,2.41641,0.49
3370000,1,0.801831,-789.556,0.428973,0.431
3380000,3,0.139943,-769.866,2.83232,0.474
3390000,3,1.64825,-776.082,1.09168,0.457
3400000,3,3.39133,-771.944,1.14701,0.444
3410000,2,0.781745,-766.767,0.502749,0.444286
3420000,3,-1.3994,-764.041,1.45423,0.468
3430000,3,-2.69699,-765.875,0.715373,0.446333
3440000,3,2.5256,-770.09,1.72435,0.468
3450000,3,3.97192,-769.815,1.99495,0.504
3460000,3,2.53295,-767.57,2.00775,0.494
3470000,1,-1.83208,-785.502,2.79658,0.436
3480000,3,-4.20659,-764.794,1.84484,0.432
3490000,1,2.00866,-786.413,1.27859,0.411
3500000,4,2.62976,-770.914,2.01122,0.451
3510000,3,0.996726,-770.255,2.03971,0.481
3520000,2,0.825454,-769.728,0.708124,0.434
3530000,2,0.137901,-774.848,1.69463,0.469
3540000,2,2.13214,-776.025,2.05561,0.492
3550000,2,0.680531,-769.635,1.34042,0.42
3560000,3,3.06443,-766.498,3.03646,0.388
3570000,3,0.265207,-774.086,1.35428,0.475
3580000,2,-0.358734,-768.692,0.821016,0.4552
3590000,2,1.16818,-775.7,0.600823,0.451941
3600000,3,0.599661,-772.142,3.45269,0.445875
3610000,2,2.78143,-767.774,0.52206,0.447
3620000,3,4.79409,-763.868,1.18075,0.466
3630000,4,2.84529,-767.714,4.02283,0.489
3640000,2,1.84867,-772.846,0.429098,0.446
3650000,3,3.9546,-766.255,2.00143,0.4635
3660000,2,-3.58928,-768.143,2.62808,0.404
3670000,3,2.34785,-765.541,2.18809,0.456
3680000,2,-2.86655,-766.173,0.474971,0.432
3690000,3,0.427086,-763.35,2.53764,0.466
3700000,4,-0.386983,-762.3,2.37536,0.461
3710000,3,0.991664,-762.366,2.07509,0.485
3720000,2,2.6411,-771.63,1.16799,0.46425
3730000,4,6.46031,-765.968,1.9798,0.507
3740000,4,3.98697,-769.179,3.4519,0.457857
3750000,2,2.76066,-778.684,1.86785,0.471
3760000,3,-4.13929,-767.65,1.01628,0.448
3770000,2,-2.23909,-770.312,2.43045,0.428
3780000,5,-6.42612,-767.383,2.83578,0.47175
3790000,3,3.49188,-765.612,1.45119,0.473636
3800000,2,0.689167,-771.014,1.83233,0.424
3810000,2,3.7974,-773.911,2.02862,0.458
3820000,4,1.76421,-766.931,1.31624,0.462067
3830000,4,0.915229,-771.125,1.98647,0.45175
3840000,3,0.0315828,-765.389,2.39605,0.4615
3850000,2,-5.62736,-773.709,1.87455,0.447
3860000,2,-4.28767,-771.939,0.701454,0.449
3870000,3,-1.1163,-777.112,1.57468,0.4605
3880000,5,3.46785,-770.469,2.69171,0.453364
3890000,2,1.53162,-775.317,2.26598,0.456
3900000,2,1.45007,-777.745,1.9587,0.443667
3910000,3,-0.324378,-773.152,1.58594,0.476
3920000,2,3.98805,-775.464,0.765112,0.4685
3930000,2,-2.93074,-766.851,1.76614,0.447
3940000,4,-5.86909,-765.928,1.37185,0.438
3950000,4,0.628238,-762.468,2.16397,0.409333
3960000,2,1.2893,-775.149,3.36127,0.456
3970000,3,-5.04853,-765.966,4.07789,0.475
3980000,2,3.02443,-770.248,1.05801,0.456
3990000,2,1.88253,-780.421,0.309696,0.497
4000000,4,1.72911,-764.064,3.63837,0.487
4010000,3,3.74126,-769.656,2.88537,0.4746
4020000,3,4.99551,-779.154,0.762995,0.4834
4030000,2,1.87992,-786.385,0.579687,0.473
4040000,3,1.90754,-774.158,2.42256,0.44
4050000,2,2.8665,-782.499,1.99616,0.466
4060000,3,-0.262805,-774.193,2.68944,0.46275
4070000,2,-4.41493,-767.877,1.28026,0.475
4080000,2,-2.12491,-775.502,4.19681,0.489
4090000,3,0.0254989,-775.795,3.34054,0.454556
4100000,3,3.9804,-772.735,1.92456,0.495
4110000,3,-2.75265,-763.04,3.414,0.47
4120000,2,3.14403,-770.967,0.916297,0.459
4130000,2,2.38379,-775.79,2.93121,0.469
4140000,2,2.48556,-774.467,1.43046,0.479
4150000,2,-0.680437,-777.148,2.08249,0.422
4160000,2,3.64255,-768.902,0.237021,0.458
4170000,3,4.70941,-768.776,1.12126,0.454125
4180000,2,-4.12052,-770.682,2.18925,0.41
4190000,3,-3.80974,-768.983,1.53219,0.439667
4200000,2,2.89728,-771.289,0.450463,0.46925
4210000,4,4.9891,-778.562,1.13974,0.472333
4220000,2,-1.62766,-770.654,1.68182,0.4586
4230000,3,-0.591663,-775.025,0.950285,0.4555
4240000,3,3.54162,-774.735,1.84797,0.4573
4250000,3,3.56937,-766.366,2.60507,0.427
4260000,3,5.64841,-774.669,0.756895,0.465667
4270000,4,2.66621,-767.996,2.18852,0.4495
4280000,3,-1.28344,-767.575,3.98412,0.443
4290000,3,1.9434,-778.502,2.16729,0.46
4300000,3,1.25268,-770.621,0.799336,0.408
4310000,3,-0.0546191,-771.017,2.96727,0.399
4320000,3,-2.13439,-767.775,1.53891,0.443
4330000,3,-0.0784947,-772.342,2.88992,0.492
4340000,3,3.5059,-771.929,2.14127,0.4955
4350000,2,1.70867,-773.725,1.93679,0.431
4360000,3,-1.42461,-767.577,1.06059,0.4535
4370000,2,1.29675,-770.958,0.487988,0.452
4380000,3,-0.0926002,-769.206,1.61779,0.493
4390000,2,-3.02724,-767.458,2.02463,0.421
4400000,2,-0.736188,-766.555,0.837993,0.451667
