no,Species,Genera,Genera2,Habit,Habit2,Origin,Biogeo,Diet,Reproduction,Data
199,Thamnophis_butleri,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic,generalist,Viviparous,GenBank
200,Thamnophis_chrysocephalus,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic, ,Viviparous,GenBank
201,Thamnophis_conanti,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic, ,Viviparous,GenBank
202,Thamnophis_couchii,Thamnophis,Thamnophis,Aquatic,Aquatic,American,Nearctic,fish,Viviparous,GenBank
203,Thamnophis_cyrtopsis,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic,generalist,Viviparous,GenBank
204,Thamnophis_elegans,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic+Neotropic,generalist,Viviparous,GenBank
205,Thamnophis_eques,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic,generalist,Viviparous,GenBank
206,Thamnophis_errans,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Nearctic, ,Viviparous,GenBank
207,Thamnophis_exsul_1,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Neotropic, ,Viviparous,GenBank
208,Thamnophis_exsul_2,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Neotropic, ,Viviparous,Current study
209,Thamnophis_fulvus,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic,anurans,Viviparous,GenBank
210,Thamnophis_gigas,Thamnophis,Thamnophis,Aquatic,Aquatic,American,Nearctic,generalist,Viviparous,GenBank
211,Thamnophis_godmani,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic, ,Viviparous,GenBank
212,Thamnophis_hammondii,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic,aquatic generalist,Viviparous,GenBank
213,Thamnophis_lineri,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic, ,Viviparous,GenBank
214,Thamnophis_marcianus,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic+Neotropic,generalist,Viviparous,GenBank
215,Thamnophis_melanogaster,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic,generalist,Viviparous,GenBank
216,Thamnophis_mendax,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Nearctic,anurans,Viviparous,GenBank
217,Thamnophis_nigronuchalis,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic,generalist,Viviparous,GenBank
218,Thamnophis_ordinoides,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Nearctic,generalist,Viviparous,GenBank
219,Thamnophis_proximus,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic,,Viviparous,GenBank
220,Thamnophis_pulchrilatus,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Neotropic, ,Viviparous,GenBank
221,Thamnophis_radix,Thamnophis,Thamnophis,Aquatic,Aquatic,American,Nearctic,generalist,Viviparous,GenBank
222,Thamnophis_rufipunctatus,Thamnophis,Thamnophis,Aquatic,Aquatic,American,Nearctic+Neotropic,fish,Viviparous,GenBank
223,Thamnophis_sauritus,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic,generalist,Viviparous,GenBank
224,Thamnophis_scalaris_1,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Neotropic,generalist,Viviparous,GenBank
225,Thamnophis_scalaris_2,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Neotropic,generalist,Viviparous,GenBank
226,Thamnophis_scaliger_1,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Neotropic,generalist,Viviparous,GenBank
227,Thamnophis_scaliger_2,Thamnophis,Thamnophis,Terrestrial,Terrestrial,American,Neotropic,generalist,Viviparous,Current study
228,Thamnophis_sirtalis,Thamnophis,Thamnophis,Semiaquatic,Semiaquatic,American,Nearctic,generalist,Viviparous,GenBank
229,Thamnophis_sumichrasti,Thamnophis,Thamnophis,Aquatic,Aquatic,American,Neotropic,generalist,Viviparous,GenBank
230,Thamnophis_validus,Thamnophis,Thamnophis,Aquatic,Aquatic,American,Neotropic,aquatic generalist,Viviparous,GenBank
231,Trachischium_fuscum,Trachischium,Trachischium,Burrowing,Burrowing,Asian,Indomalayan,earthworms,Oviparous,Current study
232,Trachischium_guentheri,Trachischium,Trachischium,Burrowing,Burrowing,Asian,Indomalayan,earthworms,Oviparous,Current study
233,Trachischium_laeve,Trachischium,Trachischium,Burrowing,Burrowing,Asian,Indomalayan,earthworms,Oviparous,Current study
234,Trachischium_monticola_1,Trachischium,Trachischium,Burrowing,Burrowing,Asian,Indomalayan,earthworms,Oviparous,Current study
235,Trachischium_monticola_2,Trachischium,Trachischium,Burrowing,Burrowing,Asian,Indomalayan,earthworms,Oviparous,GenBank
236,Tropidoclonion_lineatum,Tropidoclonion,Tropidoclonion,Burrowing,Burrowing,American,Nearctic,earthworms,Viviparous,GenBank
237,Tropidonophis_aenigmaticus,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
238,Tropidonophis_dahlii,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
239,Tropidonophis_dolasii,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
240,Tropidonophis_doriae,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
241,Tropidonophis_mairii_mairii,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian,anurans,Oviparous,Current study
242,Tropidonophis_multiscutellatus_1,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian,anurans,Oviparous,Current study
243,Tropidonophis_multiscutellatus_2,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian,anurans,Oviparous,Current study
244,Tropidonophis_multiscutellatus_3,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian,anurans,Oviparous,Current study
245,Tropidonophis_picturatus,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
246,Tropidonophis_spilogaster,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Malayan,anurans,Oviparous,Current study
247,Tropidonophis_statisticus_1,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
248,Tropidonophis_statisticus_2,Tropidonophis,Tropidonophis,Terrestrial,Terrestrial,Asian,Oceanian, ,Oviparous,Current study
249,Virginia_valeriae_1,Virginia,Virginia,Burrowing,Burrowing,American,Nearctic,earthworms,Viviparous,GenBank
250,Virginia_valeriae_2,Virginia,Virginia,Burrowing,Burrowing,American,Nearctic,earthworms,Viviparous,GenBank
251,Xenochrophis_bellula,Rhabdophis_B,Rhabdophis_B,Semiaquatic,Semiaquatic,Asian,Indomalayan,aquatic generalist,Oviparous,Current study
252,Xenochrophis_cerasogaster,Xenochrophis,Xenochrophis,Aquatic,Aquatic,Asian,India,aquatic generalist,Oviparous,Current study
253,Xenochrophis_maculatus,Rhabdophis_B,Rhabdophis_B,Semiaquatic,Semiaquatic,Asian,Malayan,aquatic generalist,Oviparous,Current study
254,Xenochrophis_trianguligerus_1,Rhabdophis_B,Rhabdophis_B,Aquatic,Aquatic,Asian,Indomalayan,generalist,Oviparous,Current study
255,Xenochrophis_trianguligerus_2,Rhabdophis_B,Rhabdophis_B,Aquatic,Aquatic,Asian,Malayan,generalist,Oviparous,GenBank
256,Xenochrophis_vittatus,Rhabdophis_B,Rhabdophis_B,Aquatic,Aquatic,Asian,Malayan,aquatic generalist,Oviparous,GenBank
