no,Species,Genera,Genera2,Habit,Habit2,Origin,Biogeo,Diet,Reproduction,Data
31,Fowlea_schnurrenbergeri,Fowlea,Fowlea,Aquatic,Aquatic,Asian,Indomalayan,aquatic generalist,Oviparous,GenBank
32,Fowlea_sp2,Fowlea,Fowlea,Aquatic,Aquatic,Asian,Western Ghats,aquatic generalist,Oviparous,Current study
33,Fowlea_tytleri,Fowlea,Fowlea,Aquatic,Aquatic,Asian,Malayan,aquatic generalist,Oviparous,GenBank
34,Fowlea_yunnanensis,Fowlea,Fowlea,Aquatic,Aquatic,Asian,Indomalayan,aquatic generalist,Oviparous,GenBank
35,Haldea_striatula,Haldea,Haldea,Burrowing,Burrowing,American,Nearctic,earthworms,Viviparous,GenBank
36,Hebius_andreae,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,GenBank
37,Hebius_annamensis,Hebius,Hebius,,,Asian,Indomalayan, , ,Current study
38,Hebius_atemporale_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
39,Hebius_atemporale_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
40,Hebius_atemporale_3,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
41,Hebius_atemporale_4,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,GenBank
42,Hebius_bitaeniatum_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
43,Hebius_bitaeniatum_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
44,Hebius_bitaeniatum_3,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
45,Hebius_bitaeniatum_4,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
46,Hebius_boulengeri_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
47,Hebius_boulengeri_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,GenBank
48,Hebius_cf._boulengeri,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
49,Hebius_chapaensis,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan, ,Oviparous,Current study
50,Hebius_concelarum,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Palearctic, ,Oviparous,GenBank
51,Hebius_craspedogaster_1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
52,Hebius_craspedogaster_2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
53,Hebius_craspedogaster_3,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
54,Hebius_deschauenseei_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
55,Hebius_deschauenseei_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,GenBank
56,Hebius_ishigakiensis,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Palearctic,anurans,Oviparous,GenBank
57,Hebius_johannis,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,fish,Oviparous,GenBank
58,Hebius_khasiense_1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,generalist,Oviparous,Current study
59,Hebius_khasiense_2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,generalist,Oviparous,GenBank
60,Hebius_khasiense_3,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,generalist,Oviparous,GenBank
61,Hebius_leucomystax,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
62,Hebius_metusium,Hebius,Hebius,,,Asian,Indomalayan,,Oviparous,GenBank
63,Hebius_modestum,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,Current study
64,Hebius_octolineatum_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
65,Hebius_octolineatum_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
66,Hebius_octolineatum_3,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,anurans,Oviparous,GenBank
67,Hebius_optatum_1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,fish,Oviparous,GenBank
68,Hebius_optatum_2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,fish,Oviparous,GenBank
69,Hebius_parallelum,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,generalist,Oviparous,GenBank
70,Hebius_popei_1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
71,Hebius_popei_2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
72,Hebius_pryeri_1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Palearctic,anurans,Oviparous,GenBank
73,Hebius_pryeri_2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Palearctic,generalist,Oviparous,GenBank
74,Hebius_sauteri_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,generalist,Oviparous,GenBank
75,Hebius_sauteri_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,generalist,Oviparous,GenBank
76,Hebius_sp,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan, , ,GenBank
77,Hebius_sp1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan, , ,Current study
78,Hebius_sp2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan, , ,Current study
79,Hebius_sp4,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan, , ,Current study
80,Hebius_taronense,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans, ,Current study
81,Hebius_venningi_1,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,Current study
82,Hebius_venningi_2,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
83,Hebius_venningi_3,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
84,Hebius_venningi_4,Hebius,Hebius,Semiaquatic,Semiaquatic,Asian,Indomalayan,anurans,Oviparous,GenBank
85,Hebius_vibakari_1,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,generalist,Oviparous,GenBank
86,Hebius_vibakari_2,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Palearctic,generalist,Oviparous,GenBank
87,Hebius_yanbianensis,Hebius,Hebius,Terrestrial,Terrestrial,Asian,Indomalayan,, ,GenBank
88,Helophis_schoutedeni,Helophis,Helophis,Aquatic,Aquatic,African,Africa,, ,Current study
89,Herpetoreas_burbrinki,Herpetoreas,Herpetoreas,Terrestrial,Terrestrial,Asian,Indomalayan,, ,GenBank
90,Herpetoreas_pealii,Herpetoreas,Herpetoreas,Semiaquatic,Semiaquatic,Asian,Indomalayan,,Oviparous,Current study
91,Herpetoreas_platyceps,Herpetoreas,Herpetoreas,Terrestrial,Terrestrial,Asian,Indomalayan,lizards,Oviparous,Current study
92,Herpetoreas_sp,Herpetoreas,Herpetoreas,Terrestrial,Terrestrial,Asian,Indomalayan, ,Oviparous,Current study
93,Herpetoreas_sp1,Herpetoreas,Herpetoreas,Terrestrial,Terrestrial,Asian,Indomalayan,generalist,Oviparous,Current study
